school,year,title,imageUrl,sourceUrl
"吉林大学","2026","2026年吉林大学硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t2.chei.com.cn/news/img/2293452071.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260318/2293452070.html"
"吉林大学","2026","2026年吉林大学硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293452072.jpeg","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260318/2293452070.html"
"吉林大学","2026","2026年吉林大学硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t1.chei.com.cn/news/img/2293452073.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260318/2293452070.html"
"中国农业大学","2026","中国农业大学2026年硕士研究生招生考试复试基本分数线","https://t1.chei.com.cn/news/img/2293452067.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260318/2293452066.html"
"复旦大学","2026","复旦大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293450582.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260317/2293450581.html"
"复旦大学","2026","复旦大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293450583.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260317/2293450581.html"
"复旦大学","2026","复旦大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293450584.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260317/2293450581.html"
"复旦大学","2026","复旦大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t2.chei.com.cn/news/img/2293450585.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260317/2293450581.html"
"复旦大学","2026","复旦大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293450586.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260317/2293450581.html"
"中南大学","2026","中南大学2026年全国硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293450534.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260317/2293450533.html"
"兰州大学","2026","兰州大学2026年硕士研究生招生复试基本分数线","https://t4.chei.com.cn/news/img/2293450518.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260317/2293450517.html"
"兰州大学","2026","兰州大学2026年硕士研究生招生复试基本分数线","https://t4.chei.com.cn/news/img/2293450519.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260317/2293450517.html"
"兰州大学","2026","兰州大学2026年硕士研究生招生复试基本分数线","https://t1.chei.com.cn/news/img/2293450520.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260317/2293450517.html"
"上海交通大学","2026","上海交通大学2026年硕士研究生入学考试复试基本分数线","https://t1.chei.com.cn/news/img/2293450496.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293450495.html"
"上海交通大学","2026","上海交通大学2026年硕士研究生入学考试复试基本分数线","https://t2.chei.com.cn/news/img/2293450497.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293450495.html"
"上海交通大学","2026","上海交通大学2026年硕士研究生入学考试复试基本分数线","https://t2.chei.com.cn/news/img/2293450498.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293450495.html"
"北京理工大学","2026","北京理工大学2026年硕士研究生招生考试复试基本分数线","https://t1.chei.com.cn/news/img/2293450428.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293450427.html"
"华中科技大学","2026","华中科技大学2026年硕士研究生招生考试复试基本分数要求","https://t1.chei.com.cn/news/img/2293450424.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293450423.html"
"华中科技大学","2026","华中科技大学2026年硕士研究生招生考试复试基本分数要求","https://t4.chei.com.cn/news/img/2293450425.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293450423.html"
"华中科技大学","2026","华中科技大学2026年硕士研究生招生考试复试基本分数要求","https://t4.chei.com.cn/news/img/2293450426.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293450423.html"
"同济大学","2026","同济大学2026年全国硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293450398.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293450397.html"
"同济大学","2026","同济大学2026年全国硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293450399.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293450397.html"
"同济大学","2026","同济大学2026年全国硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293450400.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293450397.html"
