name,province,dept,level,admissionUrl
"华北电力大学(保定)","河北","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367976.dhtml"
"河北工业大学","河北","河北省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367972.dhtml"
"山西大学","山西","山西省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367997.dhtml"
"太原理工大学","山西","山西省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-367994.dhtml"
"内蒙古大学","内蒙古","内蒙古自治区","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368005.dhtml"
"辽宁大学","辽宁","辽宁省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368032.dhtml"
"大连理工大学","辽宁","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368033.dhtml"
"东北大学","辽宁","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368037.dhtml"
"大连海事大学","辽宁","交通运输部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368030.dhtml"
"吉林大学","吉林","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368065.dhtml"
"延边大学","吉林","吉林省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368055.dhtml"
"东北师范大学","吉林","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368059.dhtml"
"哈尔滨工业大学","黑龙江","工业与信息化部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368087.dhtml"
"哈尔滨工程大学","黑龙江","工业与信息化部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368091.dhtml"
"东北农业大学","黑龙江","黑龙江省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368098.dhtml"
"东北林业大学","黑龙江","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368097.dhtml"
"复旦大学","上海","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368127.dhtml"
"同济大学","上海","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368128.dhtml"
"上海交通大学","上海","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368129.dhtml"
"华东理工大学","上海","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368142.dhtml"
"东华大学","上海","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368133.dhtml"
"上海海洋大学","上海","上海市","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368134.dhtml"
"上海中医药大学","上海","上海市","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368136.dhtml"
"华东师范大学","上海","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368137.dhtml"
